time (s),Vt 1 (v),Vt 2 (v),Vt 3 (v),Vt mean (v),Ln(Vt mean)
0.0,14.1,14.1,14.1,14.1,2.6461747973841225
5.0,13.68,13.63,13.67,13.660000000000002,2.614471854142644
10.0,13.24,13.25,13.22,13.236666666666666,2.5829907564750503
15.0,12.81,12.82,12.8,12.810000000000002,2.550226115908643
20.0,12.43,12.39,12.41,12.410000000000002,2.518502599216516
25.0,12.03,11.98,12.01,12.006666666666666,2.4854620510797
30.0,11.64,11.59,11.66,11.63,2.453587966530573
35.0,11.3,11.28,11.25,11.276666666666666,2.4227356941245075
40.0,10.93,10.92,10.86,10.903333333333334,2.389068552882183
45.0,10.58,10.54,10.54,10.553333333333333,2.3564417657847563
50.0,10.27,10.25,10.25,10.256666666666666,2.327927900665841
55.0,9.94,9.95,9.9,9.93,2.295560478057081
60.0,9.62,9.65,9.6,9.623333333333333,2.264190705006734
65.0,9.31,9.3,9.32,9.31,2.231089091288976
70.0,9.04,9.02,9.02,9.026666666666666,2.2001831593759644
75.0,8.74,8.76,8.75,8.75,2.169053700369523
80.0,8.49,8.45,8.45,8.463333333333333,2.1357431070484774
85.0,8.22,8.18,8.2,8.2,2.1041341542702074
90.0,7.98,7.92,7.91,7.936666666666667,2.0714933718306616
95.0,7.7,7.68,7.66,7.68,2.038619547159581
100.0,7.47,7.44,7.43,7.446666666666666,2.007766504972945
105.0,7.24,7.22,7.19,7.216666666666668,1.9763931657803893
110.0,6.98,6.99,7.0,6.989999999999999,1.9444805562457188
115.0,6.78,6.75,6.67,6.733333333333334,1.9070703157390496
120.0,6.58,6.55,6.54,6.556666666666666,1.880482343732858
125.0,6.38,6.34,6.34,6.353333333333333,1.8489796095579463
130.0,6.18,6.13,6.19,6.166666666666667,1.8191584434161694
135.0,6.0,5.94,5.93,5.956666666666667,1.784511040503227
140.0,5.81,5.76,5.77,5.78,1.7544036826842861
145.0,5.61,5.55,5.57,5.576666666666667,1.718591226330623
150.0,5.43,5.4,5.41,5.413333333333334,1.6888650460654224
155.0,5.25,5.23,5.23,5.236666666666667,1.6556851635994203
160.0,5.1,5.07,5.08,5.083333333333333,1.6259672143853108
165.0,4.94,4.93,4.89,4.920000000000001,1.593308530504217
170.0,4.8,4.76,4.74,4.766666666666667,1.561647248597752
175.0,4.63,4.6,4.61,4.613333333333333,1.528950661521414
180.0,4.5,4.45,4.47,4.473333333333333,1.4981338428754258
185.0,4.37,4.3,4.32,4.33,1.4655675420143985
190.0,4.28,4.2,4.19,4.223333333333334,1.4406247056649382
195.0,4.08,4.06,4.04,4.06,1.4011829736136412
200.0,3.97,3.93,3.93,3.9433333333333334,1.3720263893221858
205.0,3.83,3.82,3.82,3.8233333333333337,1.3411226424731697
210.0,3.73,3.7,3.7,3.7099999999999995,1.3110318766193436
215.0,3.62,3.56,3.58,3.5866666666666664,1.2772232660655285
220.0,3.5,3.46,3.47,3.4766666666666666,1.2460739803445713
225.0,3.39,3.35,3.37,3.3699999999999997,1.2149127443642702
230.0,3.28,3.26,3.25,3.263333333333333,1.1827491678743092
235.0,3.18,3.15,3.14,3.1566666666666667,1.1495166185298773
240.0,3.06,3.05,3.05,3.0533333333333332,1.1162338900179292
245.0,2.98,2.96,2.95,2.9633333333333334,1.0863147608577035
250.0,2.89,2.88,2.87,2.8800000000000003,1.0577902941478547
255.0,2.79,2.79,2.77,2.783333333333333,1.0236492501946544
260.0,2.72,2.7,2.7,2.706666666666667,0.995717865505477
265.0,2.64,2.61,2.61,2.6199999999999997,0.9631743177730053
270.0,2.55,2.54,2.54,2.5433333333333334,0.933475556628256
